,support,itemsets
207,0.018024273704756722,"frozenset(['phone', 'car'])"
208,0.010818439990496228,"frozenset(['case', 'phone'])"
209,0.03153905918834586,"frozenset(['phone', u'charge'])"
210,0.010187406393290428,"frozenset(['charger', 'phone'])"
211,0.015241863371373938,"frozenset(['phone', u'come'])"
212,0.02751143636437362,"frozenset([u'drop', u'crack'])"
213,0.012948320872523233,"frozenset(['fell', u'crack'])"
214,0.05665932604960429,"frozenset(['phone', u'crack'])"
215,0.057792988084945755,"frozenset(['screen', u'crack'])"
216,0.016373164119706504,"frozenset(['work', u'crack'])"
217,0.010635480959151527,"frozenset(['phone', 'damage'])"
218,0.010456430264925003,"frozenset(['phone', 'day'])"
219,0.05114417383371556,"frozenset(['phone', u'drop'])"
220,0.04011566072311728,"frozenset(['screen', u'drop'])"
221,0.012942458366845967,"frozenset([u'drop', 'work'])"
222,0.036404287510957596,"frozenset(['phone', 'fell'])"
223,0.01046107141525284,"frozenset(['pocket', 'fell'])"
224,0.018606941630125072,"frozenset(['screen', 'fell'])"
225,0.010022930539567109,"frozenset(['phone', u'find'])"
226,0.038027631617730755,"frozenset(['phone', u'get'])"
227,0.0157955444631158,"frozenset(['screen', u'get'])"
228,0.04043011901375067,"frozenset([u'go', 'phone'])"
229,0.017737173773950576,"frozenset([u'go', 'screen'])"
230,0.015693764850663254,"frozenset(['phone', 'hand'])"
231,0.0157164006364727,"frozenset([u'leave', 'phone'])"
232,0.01589105445144127,"frozenset(['phone', u'lose'])"
233,0.011955928939265907,"frozenset(['on', 'phone'])"
234,0.024254651613271998,"frozenset(['pocket', 'phone'])"
235,0.012050543267001796,"frozenset(['phone', 'power'])"
236,0.011086568201541221,"frozenset(['phone', u'run'])"
237,0.094416793864041,"frozenset(['phone', 'screen'])"
238,0.012709912308314385,"frozenset(['phone', 'still'])"
239,0.02052235251279207,"frozenset(['phone', u'take'])"
240,0.011426349259752807,"frozenset(['phone', 'time'])"
241,0.014517518225471643,"frozenset([u'try', 'phone'])"
242,0.02197063568614685,"frozenset(['turn', 'phone'])"
243,0.01853822003579711,"frozenset(['phone', 'use'])"
244,0.043910574641178014,"frozenset(['phone', 'work'])"
245,0.010958977279370705,"frozenset(['phone', 'would'])"
246,0.012025464770493488,"frozenset([u'touch', 'screen'])"
247,0.010245135789473513,"frozenset(['turn', 'screen'])"
248,0.026612518827192712,"frozenset(['screen', 'work'])"
249,0.01130307379315028,"frozenset(['phone', u'charge', 'CRCKSCRN'])"
250,0.01997086986067918,"frozenset(['CRCKSCRN', u'drop', u'crack'])"
251,0.04025880357007054,"frozenset(['phone', 'CRCKSCRN', u'crack'])"
252,0.04290971464416463,"frozenset(['screen', 'CRCKSCRN', u'crack'])"
253,0.011623883131600713,"frozenset(['CRCKSCRN', 'work', u'crack'])"
254,0.03169164718333472,"frozenset(['CRCKSCRN', 'phone', u'drop'])"
255,0.030989367857412138,"frozenset(['CRCKSCRN', 'screen', u'drop'])"
256,0.022563970114900227,"frozenset(['phone', 'CRCKSCRN', 'fell'])"
257,0.014805920935317183,"frozenset(['screen', 'CRCKSCRN', 'fell'])"
258,0.013712075084367156,"frozenset(['phone', 'CRCKSCRN', u'get'])"
259,0.012680436932548127,"frozenset([u'go', 'phone', 'CRCKSCRN'])"
260,0.011743901650604759,"frozenset(['pocket', 'phone', 'CRCKSCRN'])"
261,0.06105197127567635,"frozenset(['phone', 'screen', 'CRCKSCRN'])"
262,0.018908534977744463,"frozenset(['CRCKSCRN', 'phone', 'work'])"
263,0.016075316261825366,"frozenset(['CRCKSCRN', 'screen', 'work'])"
264,0.012271282890488882,"frozenset(['phone', 'LOST', u'lose'])"
265,0.01559222950928059,"frozenset(['phone', u'charge', 'MLFUNC'])"
266,0.015829742412899857,"frozenset(['phone', 'screen', 'MLFUNC'])"
267,0.010554464387639297,"frozenset(['phone', 'OTHER', u'crack'])"
268,0.011816531582050897,"frozenset(['phone', 'screen', 'OTHER'])"
269,0.013338258923751437,"frozenset(['phone', u'drop', u'crack'])"
270,0.013812714765160236,"frozenset(['screen', u'drop', u'crack'])"
271,0.025340680789985668,"frozenset(['phone', 'screen', u'crack'])"
272,0.019395041525267644,"frozenset(['phone', 'screen', u'drop'])"
273,0.011298595490202368,"frozenset(['phone', 'screen', 'work'])"
274,0.010898235206659024,"frozenset(['CRCKSCRN', 'screen', u'drop', u'crack'])"
275,0.019506917675275483,"frozenset(['phone', 'screen', 'CRCKSCRN', u'crack'])"
276,0.01492040264340381,"frozenset(['CRCKSCRN', 'phone', 'screen', u'drop'])"
